forecast_week,store_id,model_id,category,price,forecast_units,max_units,priority_score,value_per_rupee,allocated_units,allocated_value,recommendation_reason
53,ST001,MD052,Premium,96000.0,5.25,5,6.2015625000000005,6.4599609375e-05,5,480000.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD038,Mid-range,39900.0,5.0,5,5.90625,0.0001480263157894737,5,199500.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD010,Entry,9800.0,14.75,14,17.423437500000002,0.0017779017857142859,14,137200.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD027,Mid-range,46300.0,2.0,2,1.943918918918919,4.198528982546261e-05,2,92600.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD055,Premium,75000.0,1.0,1,0.923320895522388,1.2310945273631841e-05,1,75000.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD039,Upper-mid,51000.0,1.0,1,0.9187500000000001,1.8014705882352943e-05,1,51000.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD012,Entry,9100.0,4.0,4,4.7250000000000005,0.0005192307692307693,4,36400.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD035,Mid-range,32400.0,1.5,1,1.5750000000000002,4.8611111111111115e-05,1,32400.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD021,Budget,25200.0,1.75,1,2.0671875,8.203125e-05,1,25200.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD016,Budget,23300.0,1.25,1,1.4765625,6.337178111587982e-05,1,23300.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD020,Budget,19500.0,1.0,1,0.9187500000000001,4.711538461538462e-05,1,19500.0,Allocated based on forecast demand and priority per rupee
53,ST001,MD001,Keypad,7600.0,0.75,0,0.7505859375,9.876130756578947e-05,0,0.0,No forecast demand
53,ST001,MD002,Keypad,7900.0,0.75,0,0.725328947368421,9.181379080612924e-05,0,0.0,No forecast demand
53,ST001,MD003,Keypad,6300.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD004,Keypad,8800.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD005,Entry,11600.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD006,Entry,13100.0,0.25,0,0.22968750000000002,1.7533396946564888e-05,0,0.0,No forecast demand
53,ST001,MD007,Entry,14300.0,0.25,0,0.29531250000000003,2.0651223776223777e-05,0,0.0,No forecast demand
53,ST001,MD008,Entry,8500.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD009,Entry,11500.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD011,Entry,12100.0,0.25,0,0.22968750000000002,1.8982438016528927e-05,0,0.0,No forecast demand
53,ST001,MD013,Entry,14500.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD014,Budget,20600.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD015,Budget,16700.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD017,Budget,19500.0,0.25,0,0.22968750000000002,1.1778846153846154e-05,0,0.0,No forecast demand
53,ST001,MD018,Budget,15900.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD019,Budget,25600.0,0.75,0,0.6890625,2.691650390625e-05,0,0.0,No forecast demand
53,ST001,MD022,Budget,21400.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD023,Budget,21300.0,0.25,0,0.22968750000000002,1.0783450704225353e-05,0,0.0,No forecast demand
53,ST001,MD024,Budget,16600.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD025,Budget,16000.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD026,Mid-range,31900.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD028,Mid-range,36500.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD029,Mid-range,31600.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD030,Mid-range,27200.0,0.25,0,0.22968750000000002,8.444393382352942e-06,0,0.0,No forecast demand
53,ST001,MD031,Mid-range,38400.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD032,Mid-range,42200.0,0.25,0,0.29531250000000003,6.997926540284361e-06,0,0.0,No forecast demand
53,ST001,MD033,Mid-range,36100.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD034,Mid-range,44100.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD036,Mid-range,36400.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD037,Mid-range,35400.0,0.75,0,0.7110661764705883,2.0086615154536394e-05,0,0.0,No forecast demand
53,ST001,MD040,Upper-mid,60000.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD041,Upper-mid,69300.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD042,Upper-mid,48300.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD043,Upper-mid,59500.0,0.25,0,0.22968750000000002,3.860294117647059e-06,0,0.0,No forecast demand
53,ST001,MD044,Upper-mid,66900.0,0.75,0,0.6890625,1.0299887892376681e-05,0,0.0,No forecast demand
53,ST001,MD045,Upper-mid,52500.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD046,Upper-mid,71500.0,0.25,0,0.29531250000000003,4.130244755244756e-06,0,0.0,No forecast demand
53,ST001,MD047,Upper-mid,62300.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
53,ST001,MD048,Upper-mid,59900.0,0.25,0,0.22968750000000002,3.834515859766277e-06,0,0.0,No forecast demand
53,ST001,MD049,Premium,70500.0,0.5,0,0.45937500000000003,6.515957446808511e-06,0,0.0,No forecast demand
53,ST001,MD050,Premium,97100.0,0.5,0,0.5906250000000001,6.0826467559217305e-06,0,0.0,No forecast demand
53,ST001,MD051,Premium,82400.0,0.25,0,0.22968750000000002,2.787469660194175e-06,0,0.0,No forecast demand
53,ST001,MD053,Premium,82100.0,0.0,0,0.0,0.0,0,0.0,No forecast demand
