store_id,store_segment,tier,predecessor_recent6_avg_units,successor_recent6_avg_units,successor_model_share,predecessor_model_id,successor_model_id,lifecycle_status,eol_score,transfer_priority,recommended_transfer_units,transfer_reason,predecessor_price,successor_price,recommended_transfer_value
ST003,Premium,Tier 1,0.16666666666666666,6.666666666666667,0.10235098551412966,MD018,MD019,EOL_RECOMMEND,0.7666666666666666,0.7100000000000001,0,Successor already has demand in this store,15900.0,25600.0,0.0
ST025,Value,Tier 3,0.16666666666666666,17.5,0.07307226483649576,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.7100000000000001,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST023,Value,Tier 3,0.0,23.833333333333332,0.1087866108786611,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.7000000000000001,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST025,Value,Tier 3,0.0,14.333333333333334,0.04884941461445297,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.696548243843359,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST001,Premium,Tier 1,0.0,14.166666666666666,0.04535073409461664,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.68605220228385,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST012,Value,Tier 2,0.3333333333333333,7.0,0.038623595505617975,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.685870786516854,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST018,Value,Tier 2,0.3333333333333333,8.833333333333334,0.03815904456743373,MD020,MD021,WATCH,0.5379901960784312,0.6844771337023012,0,Successor already has demand in this store,19500.0,25200.0,0.0
ST024,Value,Tier 3,0.5,12.666666666666666,0.03268845897264843,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.6780653769179453,1,Successor already has demand in this store,12100.0,9100.0,9100.0
ST016,Value,Tier 3,0.0,7.666666666666667,0.042346938775510205,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6770408163265307,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST018,Value,Tier 2,0.16666666666666666,4.666666666666667,0.10166035537430819,MD023,MD024,WATCH,0.475,0.6733333333333335,0,Successor already has demand in this store,21300.0,16600.0,0.0
ST024,Value,Tier 3,1.0,7.333333333333333,0.0200133422281521,MD015,MD016,WATCH,0.6458333333333333,0.6700400266844564,2,Successor already has demand in this store,16700.0,23300.0,46600.0
ST013,Value,Tier 3,0.5,7.833333333333333,0.02988338192419825,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6696501457725949,1,Successor already has demand in this store,11500.0,9800.0,9800.0
ST022,Value,Tier 3,0.5,6.333333333333333,0.02984642132715155,MD020,MD021,WATCH,0.5379901960784312,0.6695392639814547,1,Successor already has demand in this store,19500.0,25200.0,25200.0
ST018,Value,Tier 2,0.5,10.166666666666666,0.02883775123798427,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6665132537139529,1,Successor already has demand in this store,11500.0,9800.0,9800.0
ST024,Value,Tier 3,0.16666666666666666,11.166666666666666,0.035356904603068715,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6660707138092061,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST015,Value,Tier 3,1.0,6.333333333333333,0.01857042747021724,MD015,MD016,WATCH,0.6458333333333333,0.6657112824106518,2,Successor already has demand in this store,16700.0,23300.0,46600.0
ST017,Value,Tier 2,0.5,7.833333333333333,0.027066041140382534,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6611981234211477,1,Successor already has demand in this store,11500.0,9800.0,9800.0
ST004,Premium,Tier 1,0.0,6.666666666666667,0.036322360953461974,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.658967082860386,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST007,Premium,Tier 1,0.0,12.166666666666666,0.036120926580290535,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.6583627797408717,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST025,Value,Tier 3,0.0,5.0,0.035930561162696814,MD020,MD021,WATCH,0.5379901960784312,0.6577916834880905,0,Successor already has demand in this store,19500.0,25200.0,0.0
ST020,Value,Tier 3,0.6666666666666666,5.333333333333333,0.022596153846153846,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6577884615384616,1,Successor already has demand in this store,11500.0,9800.0,9800.0
ST006,Premium,Tier 1,0.16666666666666666,11.166666666666666,0.03147128245476003,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6544138473642801,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST017,Value,Tier 2,0.16666666666666666,11.333333333333334,0.029953085528690002,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.64985925658607,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST003,Premium,Tier 1,0.16666666666666666,4.5,0.04820707670387082,MD034,MD035,WATCH,0.6263888888888889,0.6496212301116124,0,Successor already has demand in this store,44100.0,32400.0,0.0
ST010,Value,Tier 2,0.16666666666666666,8.666666666666666,0.028333962976955042,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6450018889308652,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST015,Value,Tier 3,0.0,8.0,0.03153468815697267,MD020,MD021,WATCH,0.5379901960784312,0.644604064470918,0,Successor already has demand in this store,19500.0,25200.0,0.0
ST021,Value,Tier 3,0.0,6.833333333333333,0.030405405405405407,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.6412162162162163,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST013,Value,Tier 3,0.5,6.833333333333333,0.020043731778425656,MD015,MD016,WATCH,0.6458333333333333,0.6401311953352771,1,Successor already has demand in this store,16700.0,23300.0,23300.0
ST002,Premium,Tier 1,0.0,9.0,0.02749852158486103,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6324955647545831,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST009,Value,Tier 2,0.16666666666666666,7.333333333333333,0.023450586264656615,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.6303517587939699,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST010,Value,Tier 2,0.16666666666666666,7.333333333333333,0.02342274272761617,MD015,MD016,WATCH,0.6458333333333333,0.6302682281828486,0,Successor already has demand in this store,16700.0,23300.0,0.0
ST011,Value,Tier 2,0.3333333333333333,5.833333333333333,0.019043917605907502,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.6271317528177226,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST006,Premium,Tier 1,0.0,7.333333333333333,0.025177025963808025,MD020,MD021,WATCH,0.5379901960784312,0.6255310778914241,0,Successor already has demand in this store,19500.0,25200.0,0.0
ST011,Value,Tier 2,0.0,6.833333333333333,0.02487368830159347,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6246210649047804,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST025,Value,Tier 3,0.16666666666666666,6.166666666666667,0.020993136859103756,MD015,MD016,WATCH,0.6458333333333333,0.6229794105773113,0,Successor already has demand in this store,16700.0,23300.0,0.0
ST014,Value,Tier 3,0.16666666666666666,5.166666666666667,0.020911752404851526,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6227352572145546,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST017,Value,Tier 2,0.16666666666666666,4.833333333333333,0.023457235654998194,MD020,MD021,WATCH,0.5379901960784312,0.6120383736316612,0,Successor already has demand in this store,19500.0,25200.0,0.0
ST006,Premium,Tier 1,0.0,9.5,0.020456333595594022,MD015,MD016,WATCH,0.6458333333333333,0.6113690007867821,0,Successor already has demand in this store,16700.0,23300.0,0.0
ST003,Premium,Tier 1,0.16666666666666666,6.333333333333333,0.016385656613630967,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.609156969840893,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST003,Premium,Tier 1,0.5,5.833333333333333,0.009498931370220851,MD037,MD038,WATCH,0.5450413223140496,0.6084967941106626,1,Successor already has demand in this store,35400.0,39900.0,39900.0
ST022,Value,Tier 3,0.3333333333333333,5.666666666666667,0.012460156476383656,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.607380469429151,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST010,Value,Tier 2,0.3333333333333333,5.0,0.012089157536834151,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.6062674726105025,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST011,Value,Tier 2,0.5,4.833333333333333,0.014768752429071124,MD015,MD016,WATCH,0.6458333333333333,0.60597292395388,1,Successor already has demand in this store,16700.0,23300.0,23300.0
ST015,Value,Tier 3,0.0,5.0,0.018220042046250877,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.6046601261387526,0,Successor already has demand in this store,11500.0,9800.0,0.0
ST018,Value,Tier 2,0.16666666666666666,5.666666666666667,0.014564520827264784,MD015,MD016,WATCH,0.6458333333333333,0.6036935624817944,0,Successor already has demand in this store,16700.0,23300.0,0.0
ST013,Value,Tier 3,0.0,5.666666666666667,0.01639941690962099,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.599198250728863,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST022,Value,Tier 3,0.16666666666666666,5.166666666666667,0.011880614314691394,MD015,MD016,WATCH,0.6458333333333333,0.5956418429440742,0,Successor already has demand in this store,16700.0,23300.0,0.0
ST002,Premium,Tier 1,0.0,6.333333333333333,0.013897102306327618,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.5916913069189829,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST006,Premium,Tier 1,0.0,6.833333333333333,0.012850773669027014,MD011,MD012,EOL_RECOMMEND,0.7833333333333333,0.5885523210070811,0,Successor already has demand in this store,12100.0,9100.0,0.0
ST005,Premium,Tier 1,0.16666666666666666,4.833333333333333,0.015345268542199489,MD009,MD010,EOL_RECOMMEND,0.7333333333333333,0.5877024722932651,0,Successor already has demand in this store,11500.0,9800.0,0.0
